Header Definitions at https://dwc.tdwg.org/terms/                                                             Occurence Based Data												Record Level Data			Event Data	Taxonomic Data																Location-Based Data											Geological Context																	
dwc:recordNumber	dwc:occurrenceID	dwc:scientificName	dwc:recordedBy	dwc:institutionID	dwc:institutionCode	dwc:collectionID	dwc:collectionCode	dwc:collectionNumber	dwc:otherCatalogNumbers	dwc:occurrence_remarks	dwc:associatedMedia	dc:type	dwc:basisOfRecord	dwc: dynamicProperties	dwc:eventDate	dwc:taxonID	dwc:verbatimIdentification	dwc:acceptedNameUsage	dwc:speciesName	dwc:kingdom	dwc:phylum	dwc:class	dwc:order	dwc:family	dwc:genus	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:scientificNameAuthorship	dwc:identificationQualifier	dwc:vernacularName	dwc:identifiedBy	dwc:locality	dwc:decimalLatitude	dwc:decimalLongitude	dwc:country	dwc:stateProvince	dwc:county	dwc:habitat	dwc:minimumElevationInMeters	dwc:maximumElevationInMeters	dwc:coordinateUncertaintyInMeters	dwc:georeferenceRemarks	dwc:geologicalContextID	dwc:earliestEonOrLowestEonothem	dwc:latestEonOrHighestEonothem	dwc:earliestEraOrLowestErathem	dwc:latestEraOrHighestErathem	dwc:earliestPeriodOrLowestSystem	dwc:latestPeriodOrHighestSystem	dwc:earliestEpochOrLowestSeries	dwc:latestEpochOrHighestSeries	dwc:earliestAgeOrLowestStage	dwc:earliestAgeOrLowestStage	dwc:lowestBiostratigraphicZone	dwc:highestBiostratigraphicZone	dwc:lithostratigraphicTerms	dwc:group	dwc:formation	dwc:member	dwc:bed
NHM-0318217	47200	Cochlostoma septemspirale (Razoumowsky, 1789)	Fauer		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, zwischen Neuessing und Kelheim																												
NHM-0487662	44079	Cochlostoma septemspirale (Razoumowsky, 1789)	Fauer		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, Kelheim, Weltenburg an der Donau																												
NHM-0931675	51141	Cochlostoma septemspirale (Razoumowsky, 1789)	Fauer		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, Kelheim, Befreiungshalle																												
NHM-0971668	32720	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Bayern, Füssener Alpe																												
NHM-0451849	48855	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Elsass, Mühlhausen																												
NHM-0918381	44071	Cochlostoma septemspirale (Razoumowsky, 1789)	Fauer		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, Kelheim, Jugendherberge																												
NHM-0616787	57796	Cochlostoma septemspirale (Razoumowsky, 1789)	Strouhal		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Scharfling																												
NHM-0480369	60209	Cochlostoma septemspirale (Razoumowsky, 1789)	Sperling		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Festungsberg																												
NHM-0554836	24557	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Festungsberg																												
NHM-0029958	23576	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Geisberg																												
NHM-0013876	57909	Cochlostoma septemspirale (Razoumowsky, 1789)	Strouhal		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Klkausbachgraben bei Glasenbach																												
NHM-0362010	23488	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Kuhberg																												
NHM-0750403	34602	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Glasenbachklamm																												
NHM-0572113	48803	Cochlostoma septemspirale (Razoumowsky, 1789)	Mahler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Salzburg, Kühberg																												
