Header Definitions at https://dwc.tdwg.org/terms/                                                             Occurence Based Data												Record Level Data			Event Data	Taxonomic Data																Location-Based Data											Geological Context																	
dwc:recordNumber	dwc:occurrenceID	dwc:scientificName	dwc:recordedBy	dwc:institutionID	dwc:institutionCode	dwc:collectionID	dwc:collectionCode	dwc:collectionNumber	dwc:otherCatalogNumbers	dwc:occurrence_remarks	dwc:associatedMedia	dc:type	dwc:basisOfRecord	dwc: dynamicProperties	dwc:eventDate	dwc:taxonID	dwc:verbatimIdentification	dwc:acceptedNameUsage	dwc:speciesName	dwc:kingdom	dwc:phylum	dwc:class	dwc:order	dwc:family	dwc:genus	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:scientificNameAuthorship	dwc:identificationQualifier	dwc:vernacularName	dwc:identifiedBy	dwc:locality	dwc:decimalLatitude	dwc:decimalLongitude	dwc:country	dwc:stateProvince	dwc:county	dwc:habitat	dwc:minimumElevationInMeters	dwc:maximumElevationInMeters	dwc:coordinateUncertaintyInMeters	dwc:georeferenceRemarks	dwc:geologicalContextID	dwc:earliestEonOrLowestEonothem	dwc:latestEonOrHighestEonothem	dwc:earliestEraOrLowestErathem	dwc:latestEraOrHighestErathem	dwc:earliestPeriodOrLowestSystem	dwc:latestPeriodOrHighestSystem	dwc:earliestEpochOrLowestSeries	dwc:latestEpochOrHighestSeries	dwc:earliestAgeOrLowestStage	dwc:earliestAgeOrLowestStage	dwc:lowestBiostratigraphicZone	dwc:highestBiostratigraphicZone	dwc:lithostratigraphicTerms	dwc:group	dwc:formation	dwc:member	dwc:bed
TLM-0199137	A2EA4DC3-41A9-4657-8CCB-7330BEF9B951	Cochlicopa lubrica (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Telfes im Stubai [Lat: 47.16611345 x Long: 11.36261523]																												
TLM-0146870	0B387865-EBCF-483C-80F1-70575C013ACF	Cochlicopa lubrica (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Nüziders, Hängender Stein [Lat: 47.1769922 x Long: 9.7818981]																												
TLM-0999608	D0D24A0D-6C0D-4FE2-80A0-7E7877745C58	Cochlicopa lubrica (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0863190	5F1296F8-4BAD-4B44-823E-D8FD9A30BFA1	Cochlicopa lubrica (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Völs, Ufer am Weiher [Lat: 47.25260038 x Long: 11.31492019]																												
TLM-0579454	2214BA34-C4F6-4FAA-9C24-2BB418DC4A05	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Koblach, Kummenberg, Klettergarten [Lat: 47.3363122 x Long: 9.6167207]																												
TLM-0314103	876D1A7E-9D06-4836-89A7-5AE86F544812	Vertigo alpestris Alder, 1838	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Lengberg [Lat: 46.79696003 x Long: 12.89170504]																												
TLM-0197120	D2744619-DFDB-4BF4-AB47-D19D762661C1	Vertigo alpestris Alder, 1838	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Nörsach [Lat: 46.77220968 x Long: 12.92019546]																												
TLM-0302500	CC452733-6B7D-4A1D-BD35-368CF89B1343	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Koblach-Meiningen, Rhein-Vorland [Lat: 47.3305591 x Long: 9.60303515]																												
TLM-0217353	FAD8BA68-5FB0-46AC-9676-71A255CCF877	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Koblach-Meiningen, Rhein-Vorland [Lat: 47.3305591 x Long: 9.60303515]																												
TLM-0610291	0EED21B7-FBEC-46EB-BD4F-726132BF35D9	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Rankweil, Weitried, Frutz-Au [Lat: 47.28463682 x Long: 9.64503318]																												
TLM-0886489	52AF8E46-6BAA-49C3-BBC2-BB266FD76725	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Hohenems, Ruine Alt-Ems [Lat: 47.36351851 x Long: 9.69589323]																												
TLM-0313051	1969F73F-4C50-46EE-A9AF-C9AA2B4FE08F	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Bludenz N, Galgentobel [Lat: 47.16764523 x Long: 9.82153326]																												
TLM-0179771	07F3ABF0-C60E-46AA-9831-2E112730A65A	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Brandner Tal, Brand-Sonnenlagant [Lat: 47.08060697 x Long: 9.7318992]																												
TLM-0287072	64FCC831-F43C-4BFA-9026-C4B9DC70DC01	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Rappenloch-Schlucht [Lat: 47.3458303 x Long: 9.686102]																												
TLM-0125954	084EFC64-39DC-412A-93E6-D72FE4899B3A	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Rappenloch-Schlucht [Lat: 47.3458303 x Long: 9.686102]																												
TLM-0253505	0280E143-979B-404F-83A2-75405D9B4E56	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Frastanz, Illauen [Lat: 47.2275722 x Long: 9.60966557]																												
TLM-0890726	34870083-E3B6-4001-929C-06CDD70E0061	Vertigo alpestris Alder, 1838	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Dornbirn, Hatlerdorf, Langen Fängen [Lat: 47.40199113 x Long: 9.73858863]																												
TLM-0130739	6CA00179-6280-4C48-B659-E702E494CD40	Vertigo alpestris Alder, 1838	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol St. Veith im Defereggental [Lat: 46.92488639 x Long: 12.42417991]																												
TLM-0985284	CB8F52F4-C79C-49DB-A4A6-DD6C272B168A	Vertigo antivertigo Drap.	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Zemmgrund, SW Ginzling [Lat: 47.06071997 x Long: 11.74970895]																												
TLM-0933016	5192DF1D-A2CA-4BAA-86B8-134940D18A23	Vertigo heldi (Clessin, 1877)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Landeck, Schloss Landeck [Lat: 47.13540665 x Long: 10.5686304]																												
TLM-0926670	AEC6F807-3E04-434A-9D4F-1E9EC480B374	Vertigo arctica (Wallenberg, 1858)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Grins [Lat: 47.14091672 x Long: 10.5131194]																												
TLM-0566711	A8B217A3-7819-431F-B0E9-5D9210D87E64	Vertigo pusilla O.F. Müller, 1774	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Heiterwanger See, Auswurf bei Fischer am See [Lat: 47.45578459 x Long: 10.76057464]																												
TLM-0096861	7D2AE15B-BF73-4984-808A-CCC783323F8E	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0758957	B9D93030-6709-4641-A8A3-FE452C5ECB56	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0362642	62B70701-6ED3-44CF-9DDD-AC82D07021B6	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Reutte E, E-Werk-Umgebung [Lat: 47.49364617 x Long: 10.74893922]																												
TLM-0125764	D89A976F-EA73-47E0-8F67-652104A82DD3	Vertigo pusilla O.F. Müller, 1774	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Außernavis [Lat: 47.12185894 x Long: 11.48857981]																												
TLM-0344792	F695061A-EA70-4D86-8502-D6287ED4D79F	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0290701	6B44D25B-B65B-4D16-8DE0-2FBE3EAD0C64	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Trins, Gschnitztal [Lat: 47.0840626 x Long: 11.41811013]																												
TLM-0121426	CEBF0E7D-68E1-4F2D-BDC5-BD18D25F8E5E	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal, Bergkapelle - Bettelwurfbründl [Lat: 47.3212542 x Long: 11.51142955]																												
TLM-0144623	9F041C70-6F51-453C-86F5-7E4FC256C3E2	Vertigo pusilla O.F. Müller, 1774	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Burgenland Neusiedler See, NO-Ufer, Neusiedl am See [Lat: 47.92870844 x Long: 16.80736542]																												
TLM-0109823	58A55500-1EF0-4CF1-9AF4-ECC58BC8D38E	Vertigo pusilla O.F. Müller, 1774	Mahler F.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kaisergebirge, Eiberg, S-Fuß [Lat: 47.481708 x Long: 12.2533666]																												
TLM-0642546	B1905955-C31A-4473-A502-0298CF46CBF9	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Imst, Rosengartenschlucht [Lat: 47.24220376 x Long: 10.73171675]																												
TLM-0083844	32B65674-7D2A-4CB9-B5BA-53149D75F013	Vertigo pusilla O.F. Müller, 1774	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Zirl, Ehnbachklamm [Lat: 47.27862123 x Long: 11.2572661]																												
TLM-0107041	BCD44026-40F8-4283-A906-0B59B6C97DB9	Vertigo pygmaea (Draparnaud, 1801)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Panzendorf, Heinfels, Schloss Heinfels [Lat: 46.75110155 x Long: 12.43951142]																												
TLM-0142430	655D0681-3602-4CEE-B33B-E34EE6D6013F	Vertigo substriata (Jeffreys, 1833)	Wiedemayr L.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal [Lat: 47.3173594 x Long: 11.51505858]																												
TLM-0140661	5373093E-1395-45AB-BE0A-8850BBF8347F	Vertigo angustior Jeffreys, 1830	H.R.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Nauders SW, Moesl [Lat: 46.87064405 x Long: 10.47849208]																												
TLM-0094396	6D4A9EA3-2A2A-4E7D-AA93-78F84B38BB62	Vertigo angustior Jeffr.	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kitzbüheler Horn - Harschbichl [Lat: 47.47942136 x Long: 12.42860556]																												
TLM-0221831	9BEDB6CD-CB46-4ECD-8FFF-0D353B8C0B02	Vertigo angustior Jeffreys, 1830	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Radurschltal (Gem. Pfunds), Beginn des Klammsteiges [Lat: 46.96245508 x Long: 10.55286705]																												
TLM-0104848	9F7BDE63-5D1C-49A2-91E8-F77A75CC2159	Vertigo angustior Jeffreys, 1830	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kitzbüheler Horn [Lat: 47.47606035 x Long: 12.42978841]																												
TLM-0598688	9A3817E8-189F-4E01-8BE8-F4D980ADE8C2	Truncatellina callicratis (Scacchi, 1833)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Schlins, Ruine Jagdberg [Lat: 47.20326475 x Long: 9.700571]																												
TLM-0200720	79621CEB-2D90-4A5D-A02D-611672813649	Truncatellina callicratis (Scacchi, 1833)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Hohenems, Schloss Glopper [Lat: 47.3683391 x Long: 9.7057667]																												
TLM-0778688	798977EC-F467-42DA-80B7-1021ED9279A3	Truncatellina claustralis (Gredler, 1856)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Neuburg [Lat: 47.34444614 x Long: 9.61399466]																												
TLM-0939096	2C6BB01F-5709-455C-8D2F-FCAC820ECB08	Truncatellina costulata (Nilsson, 1823)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Leutasch, Unterleutasch [Lat: 47.41608443 x Long: 11.21163636]																												
TLM-0886828	E3BFD2B4-D6DA-4F93-BBF0-D27DED2FC225	Truncatellina costulata (Nilsson, 1823)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Mariastein [Lat: 47.52658333 x Long: 12.05346912]																												
TLM-0574619	FF88B94D-D8B3-4332-9C05-5AEC7DAAA490	Truncatellina costulata (Nilsson, 1823)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Gaisalm, Achensee W [Lat: 47.47670937 x Long: 11.70200318]																												
TLM-0741106	87406937-269A-4419-A399-2E99DF5476B4	Truncatellina cylindrica (A. Ferussac, 1807)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Zirl, Ehnbachklamm [Lat: 47.27862123 x Long: 11.2572661]																												
TLM-0926511	FB3ABBB8-ACDB-450E-8A8A-EE60C1161E41	Truncatellina cylindrica (A. Ferussac, 1807)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Reutte E, E-Werk-Umgebung [Lat: 47.49364617 x Long: 10.74893922]																												
TLM-0615080	FF547030-2F9B-4066-8B39-CE9F7DCFC61F	Truncatellina cylindrica (A. Ferussac, 1807)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0072735	DAAFABD0-7216-4CCC-A5C9-6EE02A1F79DE	Truncatellina cylindrica (A. Ferussac, 1807)	H.R.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Flirsch NE, Eisenspitze, Lechtaler Alpen, Zwerche Wand [Lat: 47.16330509 x Long: 10.44722021]																												
TLM-0751658	AA847CEB-CA14-4951-B347-92074E2A8B22	Truncatellina cylindrica (A. Ferussac, 1807)	Klemm W.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kalkstein [Lat: 46.80506074 x Long: 12.31832385]																												
TLM-0056563	5DD5F98C-FABA-4999-B7FE-B7F38E2359D4	Truncatellina monodon (Held, 1837)	Mahler F.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Panzendorf, Heinfels, Schloss Heinfels [Lat: 46.75110155 x Long: 12.43951142]																												
TLM-0617758	4DAE649F-2FA5-4E6B-87D0-F045BA602681	Truncatellina monodon (Held, 1837)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Patriasdorf [Lat: 46.83578903 x Long: 12.76280344]																												
TLM-0605164	D1AE6963-4721-4B8D-BFAA-BFCECC0AA8C7	Truncatellina monodon (Held, 1837)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol St. Johann, Iseltal [Lat: 46.90384183 x Long: 12.6288271]																												
TLM-0740938	4B83EF4A-72F6-4F4A-8526-3118E47BDECD	Columella columella columella (G. von Martens, 1830)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Nüziders, Illauen [Lat: 47.17141612 x Long: 9.78358537]																												
TLM-0613420	A9A7EFF6-604D-4E88-A0E5-949C24F6B5B2	Columella columella columella (G. von Martens, 1830)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Brandner Tal, Brand-Sonnenlagant [Lat: 47.08060697 x Long: 9.7318992]																												
TLM-0838544	DD8D1229-F9D0-4BB4-9809-BEBF575DBC8B	Columella edentula (Draparnaud, 1805)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Patscher Alm [Lat: 46.92826418 x Long: 12.2261256]																												
TLM-0503336	EC8651E8-2C14-4C1B-8259-CA62447468ED	Columella edentula (Draparnaud, 1805)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Kärnten Gailtal, Nostra [Lat: 46.67732361 x Long: 12.87421167]																												
TLM-0289456	D5F58FA7-DF31-4DDF-AE91-3F20E65A6A60	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal, Bergkapelle - Bettelwurfbründl [Lat: 47.3212542 x Long: 11.51142955]																												
TLM-0172473	19678434-B405-4A85-9E52-EFC3B849C810	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Nikolsdorf [Lat: 46.78549356 x Long: 12.90548623]																												
TLM-0439420	4B50B37B-7FA0-4461-8C75-96228148420C	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0806168	F7A3E233-BC68-4B04-B155-1F5485E10563	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Kärnten Heldenfriedhof S - unterhalb Plöckenpass [Lat: 46.62312543 x Long: 12.94810352]																												
TLM-0585644	F256F5F4-A615-45CF-A62A-B7CF4C0C0ACE	Columella edentula (Draparnaud, 1805)	undefined		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Ehrwald, Aufstieg zur Coburgerhütte [Lat: 47.37756398 x Long: 10.93523473]																												
TLM-0998413	8C1382B9-75F3-4EBD-8F77-ED8DBA87A750	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Mariastein [Lat: 47.52658333 x Long: 12.05346912]																												
TLM-0833569	5860DE5C-60FF-41D5-9CA3-CAD95CA87C07	Columella edentula (Draparnaud, 1805)	Stummer A. & B.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Steiermark Leibnitz [Lat: 46.78258432 x Long: 15.54114014]																												
TLM-0793583	13E48762-CF2F-4B9B-BBF1-426ED4FA6C1C	Columella edentula (Draparnaud, 1805)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Weiler, Kesselschlucht [Lat: 47.3077067 x Long: 9.6694836]																												
TLM-0262426	9FB7C340-C471-4526-9E07-92B9C5AED809	Ena montana (Draparnaud, 1801)	Frank Kr.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Steiermark Kleiner Pfaffenbach, Westliche Zuflulß von Pfaffenbach [Lat: 46.75637936 x Long: 15.636608]																												
TLM-0106560	FBC36802-7FAD-4909-A9E6-D803D9C22CAF	Ena montana (Draparnaud, 1801)	Frank Kr.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Niederösterreich Orth an der Donau [Lat: 48.14749473 x Long: 16.70217991]																												
TLM-0682705	D57C4A9A-8D10-4B6A-9A72-8C3B69625959	Ena montana (Draparnaud, 1801)	Stummer A. & B.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Niederösterreich Dobra, Burgruine [Lat: 48.59235469 x Long: 15.39252273]																												
TLM-0173983	6F7AD31E-EB6B-447C-8B5F-3F8BCCDC7878	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Völs [Lat: 47.25261494 x Long: 11.32894814]																												
TLM-0975987	9B6C85E6-186A-4375-A8FD-82025F06405D	Ena montana (Draparnaud, 1801)	Geggerle J.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein-Umgebung [Lat: 47.58288729 x Long: 12.16592878]																												
TLM-0268540	BCD49833-741B-4E22-8047-C3526DC61BE1	Ena montana (Draparnaud, 1801)	Geggerle J.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein-Umgebung [Lat: 47.58288729 x Long: 12.16592878]																												
TLM-0829735	D8D6E9C9-CF26-4834-A18B-7F514CBAFC0C	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Kärnten Heldenfriedhof S - unterhalb Plöckenpass [Lat: 46.62312543 x Long: 12.94810352]																												
TLM-0761462	63F2A7DF-2CCE-45AA-9D5F-F2D228B958AE	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Mühlau, Rosnerweg, oberhalb Mühlauer Klamm [Lat: 47.2962039 x Long: 11.41403854]																												
TLM-0373076	FB62452D-898C-48CD-BE44-7D87BE608D70	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kundler Klamm [Lat: 47.45664423 x Long: 11.99074298]																												
TLM-0380117	A6544ABE-B196-4778-BB72-AAA7141174F2	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Ladis [Lat: 47.07550714 x Long: 10.64995497]																												
TLM-0042213	2A892C3C-67AB-4C41-AAA0-7BF7AD79706A	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Wilten, Bergiselweg, Garten Howard Arman [Lat: 47.25016072 x Long: 11.3998872]																												
TLM-0169008	76D58A2B-04D2-49A0-AF89-BA508D7AD120	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Imst, Rosengartenschlucht [Lat: 47.24220376 x Long: 10.73171675]																												
TLM-0862868	9E604C9E-4F8E-409F-9BE4-30C174AFB400	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Wilten, Bergisel-Aufstieg [Lat: 47.25118394 x Long: 11.40069187]																												
TLM-0241510	D159DC8C-6E13-48BE-AB8C-E6812230BB73	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Pillersee SE, Griesltal (Gem. St. Ulrich am Pillersee) [Lat: 47.51368631 x Long: 12.58953005]																												
TLM-0579211	D9B80AEB-4235-4612-969A-B93C277409B7	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Zirl, Ehnbachklamm [Lat: 47.27862123 x Long: 11.2572661]																												
TLM-0018145	900D30EC-9D20-4E92-A71F-F89DB717F03C	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Altfinstermünz [Lat: 46.9292826 x Long: 10.48736483]																												
TLM-0427879	07371E0C-7025-485A-B9FB-F56B2617B7CD	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Brandenbergtal, Kaiserklamm [Lat: 47.53647855 x Long: 11.91368312]																												
TLM-0551706	AE8F9479-DA90-47BB-B5F5-8BF35B82621A	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Matschels, Partenwiesen [Lat: 47.32029052 x Long: 9.68263775]																												
TLM-0448911	B1493913-AFBD-4C39-A7FB-C9569864108A	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0367101	16AE34F1-8196-4519-95D0-32B09603DA50	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Fließ [Lat: 47.11996082 x Long: 10.62871724]																												
TLM-0110821	66E0EEE3-2289-49FC-B9E1-9938B8292D36	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Achensee E, Achenseehof S [Lat: 47.48362685 x Long: 11.71405971]																												
TLM-0640892	BB904602-55FB-4FE6-A590-74263D98E421	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0729476	CFCBFFEF-2EBE-4908-AADA-458AF3BBA55E	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0495170	2C78B0C9-FE2B-452F-BE28-CF5DC5CD9205	Ena montana (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen								Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal, Bergkapelle - Bettelwurfbründl [Lat: 47.3212542 x Long: 11.51142955]																												
