SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMEN TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Macrogastra plicatula plicatula (Draparnaud, 1801)	4B3AFBDC-B32F-4413-BDE0-A0BA896ADB10	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Matrei i.O., Klaunzerberg [Lat: 47.00110958 x Long: 12.56393909]		1406536	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Macrogastra plicatula plicatula (Draparnaud, 1801)	CD955B77-5301-48BF-8FBC-40971D812D26	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Lienzer Dolomiten, Rauchkofel [Lat: 46.79921116 x Long: 12.78211266]		1406525	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Macrogastra plicatula plicatula (Draparnaud, 1801)	A05BB946-3927-40A7-AB22-67F6DE3A69BD	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Lienzer Dolomiten, Goggsteig [Lat: 46.80044135 x Long: 12.75353909]		1406492	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Macrogastra plicatula plicatula (Draparnaud, 1801)	8274617A-F81C-4ED0-9891-7D4C26DDA600	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Lienzer Dolomiten, Instein-Alm [Lat: 46.78047135 x Long: 12.7893862]		1406500	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Macrogastra plicatula plicatula (Draparnaud, 1801)	F92A5879-4750-4BDF-BD03-8692A424F62C	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Lienzer Dolomiten, Instein-Alm [Lat: 46.78047135 x Long: 12.7893862]		1406501	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Macrogastra plicatula plicatula (Draparnaud, 1801)	8CA98E0E-4B98-4925-A243-6A21E585D87C	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Mittewald NE, Kristeintal [Lat: 46.77178348 x Long: 12.60273993]		1406590	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Erjavecia bergeri (Rossmaessler, 1836)	0F938B10-4249-4B57-97E7-2288A3459CAB	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Salzburg Lofer SW, Loferer Steinberge [Lat: 47.54401824 x Long: 12.66309232]		1406467	Nisters H.	01.01.1970	PRESERVED_SPECIMEN	
Pseudofusulus varians (C. Pfeiffer, 1828)	6628D764-377A-4641-905B-DD9C952736E4	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Mutterer Alm, SW Mutters [Lat: 47.21143164 x Long: 11.33413821]		1406523	Biasioli C.	01.01.1874	PRESERVED_SPECIMEN	
Ruthenica filograna (Rossmässler, 1836)	CE6F789F-CA33-435E-AFB1-433580142213	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten Kärnten [Lat: 46.61908418 x Long: 13.85114193]		1406524	Biasioli C.	01.01.1874	PRESERVED_SPECIMEN	
Cochlodina laminata laminata (Montagu, 1803)	78AF236C-0B63-4639-A330-A0C7EF0E0C93	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten Dietrichstein, Gem. Feldkirchen [Lat: 46.7266243 x Long: 14.12876666]		1406544	Kofler A.	01.01.1951	PRESERVED_SPECIMEN	
Cochlodina laminata laminata (Montagu, 1803)	9E36A630-AA26-4B09-9557-8C3644221EA4	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Scharnitz, Porta Claudia [Lat: 47.38859137 x Long: 11.26385361]		1407458	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Cochlodina laminata laminata (Montagu, 1803)	BB8159EB-A321-4CF8-ACCF-F1EB8D284007	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Salzburg Salzburg, Mönchsberg [Lat: 47.80207211 x Long: 13.03669184]		1407465	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Cochlodina orthostoma (Menke, 1828)	BD5ADDB4-F17A-4BDA-BB80-2A61A94DEFB1	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten Vellacher Kotschna, Steiner Alpen [Lat: 46.38989681 x Long: 14.5686669]		1406545	Stummer A. & B.	01.01.1950	PRESERVED_SPECIMEN	
Cochlodina orthostoma (Menke, 1828)	EF366184-A5CA-49C7-8892-4F2266BF77F8	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten Tschaukofall, Tscheppaschlucht, Loibltal [Lat: 46.48787804 x Long: 14.26374614]		1406552	Stummer A. & B.	01.01.1950	PRESERVED_SPECIMEN	
Cecilioides acicula (O.F. Müller, 1774)	7C948D57-FA77-4BFA-84B8-8302433B768E	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Hohenems, Schloss Glopper [Lat: 47.3683391 x Long: 9.7057667]		1406535	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Cecilioides acicula (O.F. Müller, 1774)	7E360CB3-DB9F-4B89-8D1A-E192C4ABC876	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bludenz, Schloss Gayenhofen [Lat: 47.15747999 x Long: 9.8197791]		1406584	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Punctum pygmaeum (Draparnaud, 1801)	1049EC04-0A9D-4226-BFDD-768A2067777E	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bludesch, Ruine Jordan [Lat: 47.20268891 x Long: 9.75123793]		1406608	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Punctum pygmaeum (Draparnaud, 1801)	4D8AE8BD-6EDE-4FC7-B8A9-04EE71FA3E9F	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Vorarlberg Bürs, Bürser Berg, Ausserberg [Lat: 47.14156257 x Long: 9.77773279]		1406546	Nisters H.	01.01.1973	PRESERVED_SPECIMEN	
Punctum pygmaeum (Draparnaud, 1801)	6DA00C20-4FA0-431C-B829-A3D3C72E6209	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Mühltal, (Gem. Wildschonau) [Lat: 47.42828323 x Long: 12.02769309]		1407476	Nisters H.	01.01.1963	PRESERVED_SPECIMEN	
Gonyodiscus perspectivus (Megerle von Mühlfeld, 1816)	8F5AD2B1-14B7-4CEC-95E9-2844C3BCA8B9	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Kärnten St. Margarethen im Rosental E, NE Ferlach [Lat: 46.54110406 x Long: 14.42179263]		1406465	Fauer W.	01.01.1944	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	44669DB4-5F7A-4228-B5A7-2DD7D7DB4F14	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Steiermark Anger N, Grub-Bach [Lat: 47.27387159 x Long: 15.68993032]		1406549	undefined	01.01.1900	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	B8ECF652-EE4B-4F04-B2DE-2F2CBA57502D	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Stams, Innau [Lat: 47.28774806 x Long: 10.99559247]		1406609	Nisters H.	01.01.1982	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	DDE0F4A9-8186-4F8E-84DA-79024486E020	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Tirol Kundler Klamm [Lat: 47.45664423 x Long: 11.99074298]		1406585	undefined	01.01.1985	PRESERVED_SPECIMEN	
Gonyodiscus rotundatus (O. F. Müller, 1774)	3F87C85E-18A0-4F3B-BB28-3ABCD2ACE464	TLMF Tiroler Landesmuseen	Preserved Specimen	13.10.2023	http://creativecommons.org/licenses/by/4.0/legalcode	EUROPE Steiermark Pürgg [Lat: 47.53029244 x Long: 14.06689614]		1406588	Hopfinger O.	01.01.1900	PRESERVED_SPECIMEN	
