SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMENT TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale Klemm	69164	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Wilhelmswand bei Golling		69164	Sperling	10.1975		
Cochlostoma septemspirale Klemm	29041	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Strobl, am Fuß des Brustwandkogels		29041	Klemm	8.9.1950		
Cochlostoma septemspirale Klemm	57906	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Hinterwinkl bei Ebenau		57906	Strouhal	17.71963		
Cochlostoma septemspirale Klemm	25082	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Golling, Salzachgenist		25082	Mahler	13.10.1946		
Cochlostoma septemspirale Klemm	23688	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Wallersee Südufer, Genist		23688	Klemm	23.3.1946		
Cochlostoma septemspirale Klemm	23349	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Maria Plain bei Salzburg, Nordhang		23349	Klemm	5.11.1945		
Cochlostoma septemspirale Klemm	52246	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Pass Lueg		52246	Seidl	17.6.1965		
Cochlostoma septemspirale Klemm	1122	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Fuschl, am Fuschlsee		1122	Klemm	8.1929		
Cochlostoma septemspirale Klemm	53402	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, am Alterbach bei Guggenthal		53402	Klemm	2.9.1966		
Cochlostoma septemspirale Klemm	24549	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Mönchsberg, Plateau		24549	Klemm	6.7.1946		
Cochlostoma septemspirale Klemm	61789	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Weißenbachtal bei Strobl		61789	Klemm	15.6.1970		
Cochlostoma septemspirale Klemm	24367	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Nockstein-Gipfel		24367	Klemm	8.6.1946		
Cochlostoma septemspirale Klemm	27284	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Heuberg bei Adnet		27284	Klemm	17.7.1948		
Cochlostoma septemspirale Klemm	25891	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Spumbachgraben bei Adnet		25891	Klemm	21.7.1947		
Cochlostoma septemspirale Klemm	24732	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Eugendorf, Tümpelhang		24732	Klemm	19.9.1946		
Cochlostoma septemspirale Klemm	23841	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Eugendorf, Fischachgenist		23841	Klemm	8.4.1946		
Cochlostoma septemspirale Klemm	15186	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, St. Gilgen, Weisswand		15186	Fuchs	15.8.1936		
Cochlostoma septemspirale Klemm	25869	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, SO von Waidach bei Adnet		25869	Klemm	21.7.1947		
Cochlostoma septemspirale Klemm	25028	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Imberg		25028	Mahler	10.10.1946		
Cochlostoma septemspirale Klemm	30842	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Heuberg		30842	Klemm	30.5.1952		
Cochlostoma septemspirale Klemm	39414	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Wallerseeufer		39414	Klemm			
Cochlostoma septemspirale Klemm	23537	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Nockstein Nord, Fels		23537	Klemm	13.1.1946		
Cochlostoma septemspirale Klemm	29557	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Krottensee, Genist		29557	Klemm	5.6.1951		
Cochlostoma septemspirale Klemm	24136	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Salzachöfen		24136	Klemm	13.5.1946		
Cochlostoma septemspirale Klemm	23033	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Hallein, Dürnberggraben		23033	Klemm	7.9.1945		
Cochlostoma septemspirale Klemm	1118	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Elmauerstein bei Fuschl		1118	Klemm	8.1929		
Cochlostoma septemspirale Klemm	68091	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Strobl, Strandpromenade		68091	Sperling	21.4.1974		
Cochlostoma septemspirale Klemm	27270	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Bürglstein am Abersee		27270	Klemm	8.5.1948		
Cochlostoma septemspirale Klemm	28469	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, St. Gilgen, Saurüssel, Seewand		28469	Klemm	5.10.1949		
Cochlostoma septemspirale Klemm	15191	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Ebensee, bei der Seilbahn		15191				
Cochlostoma septemspirale Klemm	25817	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Scharfling, Pass St. Gilgen		25817	Klemm	23.6.1947		
Cochlostoma septemspirale Klemm	25935	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, St. Gilgen, Weisswand		25935	Klemm	28.1.1947		
Cochlostoma septemspirale Klemm	54884	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Schwarzenbach bei Strobl		54884	Klemm	12.7.1967		
Cochlostoma septemspirale Klemm	50751	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Waldbachstrub bei Hallstatt, Felsen beim Schleierfall		50751	Klemm	12.8.1964		
Cochlostoma septemspirale Klemm	49433	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Waldbachstrub bei Hallstatt		49433	Klemm	10.9.1963		
Cochlostoma septemspirale Klemm	49477	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Jainzenberg, Gipfel-Südhang		49477	Klemm	22.9.1963		
Cochlostoma septemspirale Klemm	56472	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Kaltenbach, alter Damm der Lokalbahn		56472	Klemm	30.8.1968		
Cochlostoma septemspirale Klemm	54898	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Burgauklamm am Attersee		54898	Klemm	12.7.1967		
Cochlostoma septemspirale Klemm	47826	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Schneeröselkogel Südabfall		47826	Klemm	7.8.1962		
Cochlostoma septemspirale Klemm	52047	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Rettenbachufer		52047	Klemm	9.6.1965		
Cochlostoma septemspirale Klemm	47464	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Gawanzerstein beim Nussensee		47464	Klemm	12.7.1962		
Cochlostoma septemspirale Klemm	47582	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Felsen am Westufer d. Hallstättersees, südl. Steg		47582	Klemm	20.7.1962		
Cochlostoma septemspirale Klemm	48878	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Mühlbach bei Steyr, Eingang Zellbauer-Höhle		48878	Ganslm.	6.4.1935		
Cochlostoma septemspirale Klemm	55026	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Jainzental, Felsen östl. vom Wasserfall		55026	Klemm	7.6.1967		
Cochlostoma septemspirale Klemm	47611	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Höllengebirge, Heumahdgupf		47611	Klemm	21.7.1962		
Cochlostoma septemspirale Klemm	47694	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Südhang unt. Rettenbachtal, Singereben		47694	Klemm	2.8.1962		
Cochlostoma septemspirale Klemm	57603	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Rettenbachtal bei Bad Ischl		57603	Strouhal	1.8.1955		
Cochlostoma septemspirale Klemm	54826	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg ober Hallstatt		54826	Klemm	7/7/1967		
Cochlostoma septemspirale Klemm	65540	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt, Gangsteig, Klamm		65540		3.8.1973		
Cochlostoma septemspirale Klemm	49254	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg Gosaumühle - Steeg		49254	Klemm	4.7.1963		
Cochlostoma septemspirale Klemm	47758	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Rauer Koppen, unt. Felswände bei Koppenwinkel		47758	Klemm	10.8.1962		
Cochlostoma septemspirale Klemm	49548	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Kroissenbachwald		49548	Klemm	12.7.1963		
Cochlostoma septemspirale Klemm	48847	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Reichraming		48847	Ganslm.	18.5.1935		
